writer	producer	coop
nm0049569	nm2059056	1
nm0049747	nm0137639	1
nm0049747	nm1024115	1
nm0050297	nm0561802	1
nm0050297	nm0774019	1
nm0050297	nm3152781	1
nm0050332	nm0041784	1
nm0050332	nm0215973	3
nm0050332	nm0242516	5
nm0050332	nm0573573	2
nm0050332	nm0625950	5
nm0050332	nm0732206	3
nm0050332	nm0874437	1
nm0053322	nm0002638	1
nm0053322	nm0187351	1
nm0053322	nm0200637	1
nm0053322	nm0358447	1
nm0053322	nm0826291	1
nm0053322	nm0840239	1
nm0053322	nm0872658	1
nm0053322	nm3242689	1
nm0053322	nm3319782	1
nm0053426	nm0331397	2
nm0053449	nm0331397	2
nm0053816	nm0175907	3
nm0053816	nm0194190	3
nm0053816	nm0270966	3
nm0053816	nm0806914	2
nm0053816	nm0941147	1
nm0053816	nm2428141	3
nm0054077	nm0382448	1
nm0054077	nm0800358	2
nm0055271	nm1267221	1
nm0055756	nm8007431	1
nm0055771	nm0394675	1
nm0056378	nm0687254	1
nm0056378	nm0932144	1
nm0056378	nm3934099	1
nm0057321	nm0048744	1
nm0057321	nm0810147	1
nm0058164	nm0748934	1
nm0058164	nm3214096	1
nm0058164	nm3606994	1
nm0059735	nm0024948	1
nm0059735	nm0194961	1
nm0059735	nm0808498	1
nm0059735	nm1317415	1
nm0060678	nm0589404	3
nm0061541	nm0047458	2
nm0061541	nm0136262	1
nm0061541	nm0321334	1
nm0061541	nm0332434	1
nm0061541	nm0376212	1
nm0061541	nm0425506	2
nm0061541	nm0564768	1
nm0061541	nm0800358	1
nm0061541	nm0859490	1
nm0061541	nm2458231	1
nm0063686	nm0641609	1
nm0063686	nm0808329	1
nm0063785	nm0734660	1
nm0063790	nm0240794	2
nm0063790	nm0282165	1
nm0063790	nm0709398	1
nm0064157	nm0006552	2
nm0064157	nm0066584	1
nm0064157	nm0073706	2
nm0064157	nm0081960	1
nm0064157	nm0140764	1
nm0064157	nm0168747	1
nm0064157	nm0340495	2
nm0064157	nm0474176	1
nm0064157	nm0587571	1
nm0064157	nm0765956	3
nm0064157	nm1144068	1
nm0064157	nm1618213	1
nm0064157	nm2467614	1
nm0064157	nm3629374	1
nm0064174	nm0006400	2
nm0064174	nm0048855	1
nm0064174	nm0213323	1
nm0064174	nm0755289	2
nm0064174	nm1266964	1
nm0064174	nm2671078	1
nm0064479	nm0108618	1
nm0064479	nm0803141	1
nm0064842	nm2524227	1
nm0065637	nm0107331	1
nm0065637	nm0439986	1
nm0065637	nm0569257	1
nm0065847	nm0175907	1
nm0065847	nm0270966	1
nm0065847	nm0800358	2
nm0065847	nm1337711	1
nm0065847	nm2140990	1
nm0065847	nm2771424	1
nm0066313	nm0456631	1
nm0066542	nm3152781	1
nm0066764	nm0688789	2
nm0066864	nm0137639	1
nm0066864	nm1024115	1
nm0066985	nm0075801	1
nm0066985	nm0113362	2
nm0066985	nm0163102	1
nm0066985	nm0319685	3
nm0066985	nm0472600	1
nm0066985	nm0757534	1
nm0066985	nm0765956	1
nm0066985	nm3833881	1
nm0067234	nm0180085	1
nm0067234	nm0352471	1
nm0067234	nm0664176	1
nm0067234	nm0710787	1
nm0067619	nm0649715	1
nm0067619	nm0929829	1
nm0067619	nm1028478	1
nm0068074	nm0691540	2
nm0068074	nm2448723	1
nm0068272	nm0135235	1
nm0068272	nm0146529	1
nm0068272	nm0319666	1
nm0068272	nm0416341	1
nm0068272	nm0543128	1
nm0068272	nm0705022	1
nm0068272	nm0753251	1
nm0068272	nm1219545	1
nm0068272	nm1703778	1
nm0068347	nm0287912	1
nm0068347	nm0567993	1
nm0068347	nm0605600	1
nm0068347	nm0641609	1
nm0068347	nm0691540	1
nm0068578	nm0075736	3
nm0068578	nm1313401	1
nm0068578	nm1545605	1
nm0068578	nm1652456	3
nm0068578	nm2244947	1
nm0068589	nm0016074	1
nm0068589	nm0448508	2
nm0068589	nm0691540	1
nm0068589	nm1657743	1
nm0068589	nm2649171	1
nm0069074	nm0069072	10
nm0069074	nm0168755	3
nm0069074	nm0171178	2
nm0069074	nm0237720	8
nm0069074	nm0242896	2
nm0069074	nm0721019	4
nm0069074	nm0771755	1
nm0069074	nm0914740	1
nm0069074	nm0915748	1
nm0069074	nm1766652	1
nm0069074	nm2017180	4
nm0069257	nm0004132	1
nm0069257	nm0592535	1
nm0069257	nm0670266	1
nm0069257	nm0925441	1
nm0069547	nm0048859	1
nm0070142	nm0357371	1
nm0070142	nm0563505	1
nm0070142	nm0679915	1
nm0070142	nm0899021	1
nm0070142	nm0907197	1
nm0070142	nm0936574	1
nm0070142	nm1475461	1
nm0072062	nm0003816	1
nm0072062	nm7990826	1
nm0072412	nm0006552	1
nm0072412	nm0073706	2
nm0072412	nm0131651	1
nm0072412	nm0319666	1
nm0072412	nm0321334	1
nm0072412	nm0383410	1
nm0072412	nm0397500	1
nm0072412	nm0555684	1
nm0072412	nm0571202	1
nm0072412	nm0587831	1
nm0072412	nm0663764	1
nm0072412	nm0695219	1
nm0072412	nm0826291	1
nm0072412	nm0879968	1
nm0072412	nm1219545	1
nm0072412	nm1602122	1
nm0072412	nm1618213	1
nm0072412	nm7162046	1
nm0072589	nm0338965	1
nm0072589	nm1180074	1
nm0073492	nm0317354	2
nm0073492	nm0899555	1
nm0073504	nm0366793	2
nm0073504	nm0555684	2
nm0073504	nm1016998	1
nm0073504	nm1144729	1
nm0073504	nm1479574	1
nm0073693	nm0319685	2
nm0073693	nm0919790	1
nm0073693	nm1014957	1
nm0073790	nm1131421	1
nm0074165	nm0003167	1
nm0074165	nm0820310	1
nm0074184	nm0099002	1
nm0074184	nm0851740	1
nm0074844	nm0048739	1
nm0074844	nm0525831	2
nm0074844	nm0866082	1
nm0074844	nm1072208	1
nm0075528	nm0002494	3
nm0075528	nm0009952	1
nm0075528	nm0278129	1
nm0075528	nm0321877	1
nm0075528	nm0527167	2
nm0075528	nm0548932	1
nm0075528	nm0771863	1
nm0075528	nm0825190	1
nm0075528	nm0859490	1
nm0075528	nm0919043	1
nm0075528	nm1660886	1
nm0075528	nm1742204	1
nm0075528	nm3113826	1
nm0075528	nm3199719	1
nm0075724	nm3696673	1
nm0075785	nm0003557	2
nm0075785	nm0024386	1
nm0075785	nm0153737	3
nm0075785	nm0161558	1
nm0075785	nm0277830	2
nm0075785	nm0278129	1
nm0075785	nm0326506	1
nm0075785	nm0381436	1
nm0075785	nm0383410	1
nm0075785	nm0587508	2
nm0075785	nm0587571	1
nm0075785	nm0879968	3
nm0075785	nm0934046	1
nm0075785	nm1278270	1
nm0075785	nm2045468	1
nm0075834	nm0268233	4
nm0075834	nm0892377	2
nm0076166	nm0455336	2
nm0076166	nm2050777	1
nm0076166	nm2768197	1
nm0076166	nm5404569	1
nm0076708	nm0126290	2
nm0076708	nm0140764	9
nm0076708	nm0363599	5
nm0076708	nm0447942	3
nm0076708	nm0564768	1
nm0076708	nm1158540	1
nm0076708	nm1222653	1
nm0076708	nm2458231	3
nm0076820	nm0521753	1
nm0076820	nm0539103	1
nm0076820	nm0738526	1
nm0076965	nm0341952	1
nm0076965	nm0637833	2
nm0076965	nm0738700	2
nm0076965	nm1241294	1
nm0076965	nm2186058	1
nm0076965	nm2388413	1
nm0076998	nm0111275	1
nm0077062	nm0069072	1
nm0077062	nm0162722	2
nm0077062	nm0172670	1
nm0077062	nm0188312	2
nm0077062	nm0237720	1
nm0077062	nm1342242	1
nm0077062	nm1373880	2
nm0077062	nm3689180	1
nm0077111	nm1038305	2
nm0077626	nm0353456	2
nm0077626	nm0750313	1
nm0077626	nm0795533	2
nm0077626	nm0804759	2
nm0077626	nm1334075	1
nm0077626	nm2381405	1
nm0078897	nm0174483	2
nm0081081	nm0077071	1
nm0081081	nm0825190	1
nm0081081	nm1096268	2
nm0081081	nm1373880	1
nm0081081	nm3030081	1
nm0081081	nm3346060	1
nm0081189	nm0054497	1
nm0081189	nm0572123	1
nm0081189	nm0664176	4
nm0081189	nm0705891	6
nm0081189	nm1048942	2
nm0081189	nm3967923	5
nm0081299	nm0203215	1
nm0081299	nm0235920	2
nm0081299	nm0430710	1
nm0081299	nm0704054	1
nm0081299	nm0704621	1
nm0081299	nm1003469	1
nm0081299	nm1010175	1
nm0081299	nm1029384	1
nm0081299	nm2635129	1
nm0081334	nm0628180	1
nm0081334	nm0825217	1
nm0081334	nm0935631	2
nm0081334	nm1052109	1
nm0082376	nm0057106	1
nm0082376	nm0066582	2
nm0082376	nm0175473	1
nm0082376	nm0270966	1
nm0082376	nm0536841	1
nm0082376	nm0543128	1
nm0082376	nm0654024	1
nm0082376	nm0736462	2
nm0082376	nm0929955	1
nm0082376	nm0994848	1
nm0082450	nm0398851	1
nm0082450	nm0918441	1
nm0082772	nm0408417	1
nm0082811	nm0171178	2
nm0082811	nm0721019	4
nm0082811	nm1766652	1
nm0082811	nm2017180	4
nm0083349	nm0317354	2
nm0083349	nm0539103	1
nm0083349	nm0815432	1
nm0083349	nm0899555	1
nm0084158	nm0400233	1
nm0084334	nm0220049	1
nm0085088	nm0073929	1
nm0085088	nm1994788	1
nm0085088	nm2298402	1
nm0085220	nm0041784	1
nm0085220	nm0194961	1
nm0085220	nm0268233	2
nm0085220	nm0406220	1
nm0085220	nm0543128	1
nm0085220	nm0587571	1
nm0085220	nm0774802	1
nm0085220	nm5027526	1
nm0085242	nm0425506	1
nm0085242	nm0741689	1
nm0085242	nm0998318	1
nm0085257	nm0146529	1
nm0085512	nm0001198	2
nm0085512	nm0915066	1
nm0085535	nm3152781	1
nm0085775	nm0004634	1
nm0085775	nm0137075	1
nm0085775	nm0283234	1
nm0085775	nm0325494	1
nm0085775	nm0501904	1
nm0085775	nm0697877	1
nm0085775	nm0765956	1
nm0085775	nm0857146	1
nm0085775	nm1466598	1
nm0086194	nm0002494	1
nm0086194	nm0485130	1
nm0086194	nm0851395	1
nm0086194	nm0887184	1
nm0086194	nm1016998	1
nm0086194	nm1557867	1
nm0086194	nm1644576	1
nm0086194	nm1742204	1
nm0086194	nm2560560	1
nm0086194	nm5896375	1
nm0086694	nm0074403	3
nm0086694	nm0395924	1
nm0086694	nm0415516	1
nm0086694	nm0438309	5
nm0086694	nm0438432	1
nm0086694	nm0461799	1
nm0086694	nm0576182	2
nm0086694	nm0833403	2
nm0086694	nm0924062	1
nm0086694	nm0936574	1
nm0086749	nm0736307	1
nm0088119	nm1241675	1
nm0088119	nm1273119	1
nm0088479	nm0561802	1
nm0088479	nm0907002	1
nm0089136	nm0808471	1
nm0089369	nm0275234	1
nm0089369	nm0475970	1
nm0089369	nm0555684	1
nm0089369	nm0587571	1
nm0089369	nm0678336	1
nm0089369	nm0896107	1
nm0089369	nm1219545	1
nm0089369	nm3629374	1
nm0089731	nm0395271	1
nm0089946	nm0279574	1
nm0089946	nm0533109	1
nm0089946	nm0579449	1
nm0089946	nm1147756	1
nm0091326	nm0502824	1
nm0092018	nm0168655	1
nm0092018	nm0294195	1
nm0092018	nm0343523	1
nm0092018	nm0381868	1
nm0092018	nm0632871	1
nm0092018	nm1014957	1
nm0092578	nm0072557	1
nm0092578	nm1092388	1
nm0093186	nm0036896	1
nm0093186	nm0825190	1
nm0093328	nm0514379	1
nm0093328	nm0699276	1
nm0093560	nm0543128	1
nm0093748	nm0009264	1
nm0093748	nm0176682	1
nm0093748	nm0389055	1
nm0093748	nm0444884	1
nm0093748	nm4036280	1
nm0093748	nm4494930	1
nm0093748	nm5817341	1
nm0093748	nm5817470	1
nm0096157	nm0046329	1
nm0096157	nm0277880	1
nm0096157	nm0394001	1
nm0096157	nm0503899	1
nm0096157	nm0604389	1
nm0096157	nm0638683	2
nm0096157	nm0655128	5
nm0097504	nm0386832	1
nm0098421	nm0919043	1
nm0100040	nm0509898	1
nm0101298	nm0566320	1
nm0101465	nm0081960	1
nm0101715	nm0641609	1
nm0103397	nm0691540	1
nm0103397	nm2448723	1
nm0103804	nm0097004	1
nm0103804	nm0268233	4
nm0103804	nm0300510	2
nm0103804	nm0654024	2
nm0103804	nm0664176	1
nm0103804	nm0713753	1
nm0103804	nm0892377	2
nm0103804	nm1027122	1
nm0103928	nm0482682	1
nm0103928	nm0489539	1
nm0103928	nm0637833	2
nm0103928	nm3131414	1
nm0104333	nm0057463	1
nm0104333	nm0213928	1
nm0104333	nm0340495	1
nm0104333	nm0455336	2
nm0104333	nm0474176	1
nm0104333	nm0703729	1
nm0104333	nm0874437	1
nm0104333	nm2050777	1
nm0104333	nm2749238	1
nm0104333	nm2768197	1
nm0104333	nm5404569	1
nm0104335	nm0135235	1
nm0104481	nm0004475	1
nm0104481	nm0857714	2
nm0104973	nm0036761	1
nm0104973	nm0181645	2
nm0104973	nm0217907	2
nm0104973	nm0738700	1
nm0104973	nm1462434	1
nm0104973	nm2711410	1
nm0105632	nm0010806	1
nm0105632	nm1715628	1
nm0105776	nm0108618	1
