nconst	closeness	betweenness	degree	primaryName	gender
nm0074844	0.27856595679485213	9.420903795102999e-05	0.002504696305572949	Nir Bergman	male
nm0075528	0.33629267931787077	0.004970229504720086	0.008140262993112084	Greg Berlanti	male
nm0075724	0.23176545570427023	0.0	0.0006261740763932373	Andy Berman	male
nm0075785	0.33559747498984827	0.004345398625334691	0.00939261114589856	Josh Berman	male
nm0075834	0.2632706843126466	1.757098391335396e-05	0.0012523481527864746	Rick Berman	male
nm0076166	0.23816509915904743	2.84848625586992e-06	0.002504696305572949	Carlo Bernard	male
nm0076708	0.3037522135721207	0.0009654740205384441	0.005009392611145898	Edward Allen Bernero	male
nm0076820	0.2503373261737574	0.00029044973882726225	0.0018785222291797118	Robin Bernheim	female
nm0076965	0.32266193433895296	0.0021608246191479005	0.0037570444583594235	Michael Berns	male
nm0076998	0.2352438866606288	0.0	0.0006261740763932373	Anne D. Bernstein	female
nm0077062	0.3209079035617212	0.004266779867494332	0.005009392611145898	Jack Bernstein	male
nm0077111	0.22805609211549557	0.0	0.0006261740763932373	Nat Bernstein	male
nm0077626	0.2806990459134838	0.0069544811963587316	0.0037570444583594235	Matt Berry	male
nm0078897	0.2072589654150423	0.0	0.0006261740763932373	Ben Best	male
nm0081081	0.3016557719746491	0.0018552237758666294	0.0037570444583594235	Jenny Bicks	female
nm0081189	0.3244584032263821	0.0022684630077715543	0.0037570444583594235	Ann Biderman	female
nm0081299	0.30772094912500425	0.001482380072146176	0.005635566687539136	Ian Biederman	male
nm0081334	0.2470716129908955	8.33762453939917e-06	0.002504696305572949	Kevin Biegel	male
nm0082376	0.33938104304326727	0.006237982925000907	0.006261740763932373	Kenneth Biller	male
nm0082450	0.2594981874232866	7.839389852460834e-06	0.0012523481527864746	Paul Feig	male
nm0082772	0.2679418786289015	0.0	0.0006261740763932373	Carl Binder	male
nm0082811	0.2786684241179536	5.849906029841614e-05	0.002504696305572949	Steven D. Binder	male
nm0083349	0.26685648868406375	0.00037521534569365396	0.002504696305572949	Brian Bird	male
nm0084158	0.20915679282181066	0.0	0.0006261740763932373	Orlando Bishop	male
nm0084334	0.262147120735892	0.0	0.0006261740763932373	Buzz Bissinger	male
nm0085220	0.33651674995372943	0.003199532435098014	0.005009392611145898	Chris Black	male
nm0085242	0.29236211609583534	0.0003023898877875333	0.0018785222291797118	David Black	male
nm0085257	0.28358860779236983	0.0	0.0006261740763932373	Dustin Lance Black	male
