writer	producer	coop	genderUncategorized_w	genderUncategorized_p	gender_writer	gender_producer
nm0011814	nm2175494	1	False	False	male	female
nm0011882	nm0313394	1	False	False	male	female
nm0011882	nm0501904	1	False	False	male	male
nm0011882	nm0519140	2	False	False	male	female
nm0011882	nm0609355	1	False	False	male	male
nm0011882	nm1158138	1	False	False	male	male
nm0011925	nm0210686	2	False	False	female	male
nm0011925	nm0283509	1	False	False	female	male
nm0011925	nm0325180	1	False	False	female	male
nm0011925	nm0575151	1	False	False	female	female
nm0011925	nm0730282	1	False	False	female	female
nm0011925	nm1006153	2	False	False	female	male
nm0012100	nm0002494	1	False	False	male	male
nm0012100	nm0381868	1	False	False	male	male
nm0012100	nm0548932	2	False	False	male	male
nm0012100	nm0818657	1	False	False	male	male
nm0012289	nm0096897	1	False	False	male	male
nm0012289	nm0671992	1	False	False	male	male
nm0013235	nm1364530	1	False	False	female	female
nm0013583	nm0159009	1	False	False	male	male
nm0013583	nm0270966	1	False	False	male	male
nm0013928	nm0795533	1	False	False	female	male
nm0015327	nm0081960	1	False	False	female	male
nm0015327	nm0240794	2	False	False	female	male
nm0015327	nm0282165	1	False	False	female	female
nm0015327	nm0370405	1	False	False	female	female
nm0015327	nm0709398	1	False	False	female	male
nm0015327	nm1003823	1	False	False	female	male
nm0015327	nm1188251	3	False	False	female	female
nm0015328	nm0316887	1	False	False	male	female
nm0015328	nm0501728	1	False	False	male	female
nm0015328	nm0922322	1	False	False	male	male
nm0016279	nm0658402	1	False	False	female	female
nm0016279	nm1038305	3	False	False	female	female
nm0018291	nm0502735	1	False	False	male	male
nm0018504	nm0076353	1	False	False	male	male
nm0018504	nm0135235	3	False	False	male	female
nm0018504	nm0459192	1	False	False	male	male
nm0018504	nm0767269	1	False	False	male	male
nm0018504	nm0872823	2	False	False	male	male
nm0018504	nm0929955	1	False	False	male	male
nm0018504	nm1206844	1	False	False	male	male
nm0018504	nm3089062	1	False	False	male	female
nm0018735	nm0000237	1	False	False	male	male
nm0018735	nm1558784	1	False	False	male	female
nm0020334	nm1742559	1	False	False	male	male
nm0020334	nm3216749	1	False	False	male	male
nm0020334	nm3605609	1	False	False	male	male
nm0020334	nm7038579	1	False	False	male	male
nm0020334	nm7038581	1	False	False	male	female
nm0020334	nm7038582	1	False	False	male	male
nm0020334	nm8423688	1	False	False	male	male
nm0022935	nm0057896	1	False	False	female	male
nm0022935	nm1222066	1	False	False	female	female
nm0022935	nm1928189	1	False	False	female	female
nm0022935	nm3250348	1	False	False	female	female
nm0023371	nm0491126	1	False	False	male	male
nm0023371	nm0629575	1	False	False	male	female
nm0023897	nm0008823	1	False	False	male	female
nm0023897	nm0012182	1	False	False	male	male
nm0023897	nm0109502	2	False	False	male	male
nm0023897	nm0341952	2	False	False	male	male
nm0023897	nm0434877	1	False	False	male	male
nm0023897	nm0695643	1	False	False	male	male
nm0023897	nm0705022	1	False	False	male	male
nm0023897	nm0795288	1	False	False	male	male
nm0023897	nm0886628	1	False	False	male	female
nm0023897	nm0923571	1	False	False	male	male
nm0023897	nm0925441	2	False	False	male	male
nm0023897	nm1003804	1	False	False	male	male
nm0023897	nm1548657	1	False	False	male	male
nm0023897	nm3319782	1	False	False	male	male
nm0023897	nm3640424	1	False	False	male	female
nm0024169	nm0496556	3	False	False	male	male
nm0024169	nm0555684	1	False	False	male	male
nm0024169	nm0738526	1	False	False	male	male
nm0024169	nm1144729	1	False	False	male	female
nm0024718	nm0205497	1	False	False	male	female
nm0024718	nm0834426	3	False	False	male	male
nm0024718	nm1472469	1	False	False	male	male
nm0024718	nm1857131	1	False	False	male	female
nm0024856	nm0688789	2	False	False	male	male
nm0024925	nm0728619	1	False	False	male	male
nm0025749	nm0476600	1	False	False	male	male
nm0025811	nm0248336	1	False	False	male	male
nm0025811	nm0333335	1	False	False	male	male
nm0025811	nm0483091	2	False	False	male	female
nm0025811	nm0581676	1	False	False	male	male
nm0025811	nm1444455	1	False	False	male	female
nm0026369	nm7957460	1	False	False	male	male
nm0026968	nm0521753	1	False	False	male	female
nm0026968	nm0539103	1	False	False	male	male
nm0026968	nm0815432	1	False	False	male	female
nm0027442	nm1106444	1	False	False	female	female
nm0027526	nm1340224	2	False	False	male	female
nm0028380	nm0261999	1	False	False	male	female
nm0028380	nm0646898	1	False	False	male	male
nm0028380	nm0646899	1	False	False	male	male
nm0028982	nm0081960	1	False	False	female	male
nm0028982	nm0135235	1	False	False	female	female
nm0028982	nm0302127	1	False	False	female	male
nm0028982	nm0625950	1	False	False	female	female
nm0028982	nm0946901	1	False	False	female	male
nm0028982	nm1332931	1	False	False	female	male
nm0029445	nm0434838	1	False	False	male	male
nm0029556	nm0004079	1	False	False	male	male
nm0029556	nm0004223	1	False	False	male	male
nm0029556	nm0081960	1	False	False	male	male
nm0029556	nm0172670	1	False	False	male	male
nm0029556	nm0188312	1	False	False	male	male
nm0029556	nm0290735	1	False	False	male	male
nm0029556	nm0734165	1	False	False	male	male
nm0029556	nm0753382	1	False	False	male	male
nm0029556	nm0765956	1	False	False	male	male
nm0029556	nm0850888	1	False	False	male	female
nm0029556	nm1420267	1	False	False	male	male
nm0029646	nm0024948	1	False	False	male	male
nm0029646	nm0482682	1	False	False	male	female
nm0029646	nm0713514	1	False	False	male	female
nm0029646	nm0834426	2	False	False	male	male
nm0029646	nm0859808	1	False	False	male	male
nm0031011	nm0240548	1	False	False	female	male
nm0031011	nm0392146	1	False	False	female	male
nm0031011	nm0684919	1	False	False	female	female
nm0031011	nm1334218	1	False	False	female	female
nm0031028	nm1691098	1	False	False	female	female
nm0031078	nm1660886	1	False	False	male	female
nm0031976	nm0382282	2	False	False	male	female
nm0031976	nm0398851	1	False	False	male	male
nm0031976	nm0673400	1	False	False	male	male
nm0031976	nm0918441	1	False	False	male	male
nm0031976	nm0918515	1	False	False	male	female
nm0031976	nm2692147	1	False	False	male	male
nm0031976	nm3319021	1	False	False	male	male
nm0032219	nm0338965	1	False	False	male	male
nm0032219	nm0677725	1	False	False	male	male
nm0032219	nm0851740	1	False	False	male	female
nm0032219	nm1180074	1	False	False	male	female
nm0032227	nm0002472	1	False	False	male	male
nm0032227	nm0135235	2	False	False	male	female
nm0032227	nm0475970	1	False	False	male	male
nm0032227	nm0556163	1	False	False	male	male
nm0032227	nm0654024	1	False	False	male	male
nm0032227	nm0872823	1	False	False	male	male
nm0032566	nm0561802	1	False	False	male	male
nm0032566	nm0738526	1	False	False	male	male
nm0032566	nm3152781	1	False	False	male	male
nm0032696	nm0496556	3	False	False	male	male
nm0033154	nm0250621	1	False	False	female	male
nm0033154	nm0400233	1	False	False	female	female
nm0033154	nm0603286	1	False	False	female	male
nm0033154	nm0663764	6	False	False	female	male
nm0033154	nm1121466	1	False	False	female	male
nm0033154	nm1121467	1	False	False	female	male
nm0034359	nm0006552	1	False	False	female	male
nm0034359	nm0279092	1	False	False	female	male
nm0034359	nm0313514	1	False	False	female	male
nm0034359	nm0620743	1	False	False	female	female
nm0034359	nm0721019	1	False	False	female	male
nm0034359	nm0861638	1	False	False	female	female
nm0034359	nm0957670	2	False	False	female	male
nm0034359	nm0959567	1	False	False	female	male
nm0034359	nm2232862	1	False	False	female	male
nm0035024	nm0268266	1	False	False	male	female
nm0035024	nm1691098	1	False	False	male	female
nm0036169	nm0695643	1	False	False	female	male
nm0036169	nm1003804	2	False	False	female	male
nm0036559	nm0316459	1	False	False	male	male
nm0036559	nm0859970	1	False	False	male	male
nm0036950	nm0270966	1	False	False	male	male
nm0036961	nm0240794	1	False	False	female	male
nm0036961	nm1003823	1	False	False	female	male
nm0038933	nm0000776	1	False	False	female	male
nm0038933	nm0695219	1	False	False	female	male
nm0038933	nm0742098	2	False	False	female	female
nm0038933	nm0765956	1	False	False	female	male
nm0038933	nm0901130	1	False	False	female	male
nm0038933	nm7162046	4	False	False	female	male
nm0039101	nm0056205	1	False	False	female	female
nm0039101	nm0366818	1	False	False	female	male
nm0039101	nm0589696	1	False	False	female	female
nm0039101	nm0827670	1	False	False	female	male
nm0040612	nm1273119	1	False	False	female	male
nm0041469	nm0143984	1	False	False	male	male
nm0041469	nm0313394	1	False	False	male	female
nm0041469	nm0319666	2	False	False	male	female
nm0041469	nm0326177	1	False	False	male	male
nm0041469	nm0516623	1	False	False	male	male
nm0041469	nm0543128	1	False	False	male	male
nm0041469	nm0919043	1	False	False	male	female
nm0041864	nm0738700	1	False	False	male	male
nm0042006	nm0119946	1	False	False	male	male
nm0044058	nm1077721	2	False	False	male	female
nm0044828	nm0140078	1	False	False	male	female
nm0044828	nm0168189	1	False	False	male	female
nm0044828	nm0278129	1	False	False	male	male
nm0044828	nm0658402	1	False	False	male	female
nm0044828	nm0887184	1	False	False	male	female
nm0044828	nm1131421	1	False	False	male	female
nm0044828	nm1941358	1	False	False	male	female
nm0046017	nm0650346	1	False	False	female	male
nm0046017	nm1140110	1	False	False	female	female
nm0046017	nm1474176	1	False	False	female	male
nm0046263	nm0136398	1	False	False	male	female
nm0046263	nm2175494	1	False	False	male	female
nm0046371	nm0011260	1	False	False	male	female
nm0046371	nm0057463	2	False	False	male	female
nm0046371	nm0213928	2	False	False	male	male
nm0047076	nm0800358	1	False	False	male	male
nm0047489	nm0789443	1	False	False	male	male
nm0047976	nm0140078	2	False	False	male	female
nm0047976	nm0178381	2	False	False	male	female
nm0047976	nm0335344	2	False	False	male	male
nm0047976	nm0799886	1	False	False	male	male
nm0047976	nm1373881	1	False	False	male	male
nm0047976	nm2385621	1	False	False	male	male
nm0048169	nm0497661	1	False	False	male	female
nm0048802	nm0117095	1	False	False	male	female
nm0048802	nm1017665	2	False	False	male	female
nm0048802	nm1483253	1	False	False	male	male
nm0048802	nm1559263	1	False	False	male	male
nm0048802	nm9632710	1	False	False	male	male
nm0048832	nm0055999	1	False	False	male	male
nm0048832	nm0463199	1	False	False	male	male
nm0048832	nm1244330	1	False	False	male	male
nm0048832	nm1340224	4	False	False	male	female
nm0049569	nm0217907	4	False	False	male	male
nm0049569	nm0321334	2	False	False	male	male
nm0049569	nm0332434	2	False	False	male	male
nm0049569	nm0425506	1	False	False	male	female
nm0049569	nm0450715	1	False	False	male	male
nm0049569	nm0458318	1	False	False	male	male
nm0049569	nm0738700	7	False	False	male	male
nm0049569	nm0857714	1	False	False	male	female
nm0049569	nm0998318	1	False	False	male	female
nm0049569	nm1930215	1	False	False	male	male
nm0049569	nm2059056	1	False	False	male	female
nm0049747	nm0137639	1	False	False	male	male
nm0049747	nm1024115	1	False	False	male	male
nm0050297	nm0561802	1	False	False	male	male
nm0050297	nm0774019	1	False	False	male	male
nm0050297	nm3152781	1	False	False	male	male
nm0050332	nm0041784	1	False	False	male	male
nm0050332	nm0215973	3	False	False	male	male
nm0050332	nm0242516	5	False	False	male	male
nm0050332	nm0573573	2	False	False	male	male
nm0050332	nm0625950	5	False	False	male	female
nm0050332	nm0732206	3	False	False	male	female
nm0050332	nm0874437	1	False	False	male	female
nm0053322	nm0002638	1	False	False	female	male
nm0053322	nm0187351	1	False	False	female	male
nm0053322	nm0200637	1	False	False	female	female
nm0053322	nm0358447	1	False	False	female	male
nm0053322	nm0826291	1	False	False	female	female
nm0053322	nm0872658	1	False	False	female	female
nm0053322	nm3242689	1	False	False	female	male
nm0053322	nm3319782	1	False	False	female	male
nm0053426	nm0331397	2	False	False	male	female
nm0053449	nm0331397	2	False	False	male	female
nm0053816	nm0175907	3	False	False	male	male
nm0053816	nm0270966	3	False	False	male	male
nm0053816	nm0806914	2	False	False	male	male
nm0053816	nm0941147	1	False	False	male	male
nm0053816	nm2428141	3	False	False	male	male
nm0054077	nm0382448	1	False	False	male	male
nm0054077	nm0800358	2	False	False	male	male
nm0055271	nm1267221	1	False	False	male	female
nm0055756	nm8007431	1	False	False	male	female
nm0055771	nm0394675	1	False	False	female	male
nm0056378	nm0687254	1	False	False	female	female
nm0056378	nm0932144	1	False	False	female	male
nm0056378	nm3934099	1	False	False	female	female
nm0057321	nm0048744	1	False	False	male	male
nm0057321	nm0810147	1	False	False	male	male
nm0058164	nm0748934	1	False	False	male	male
nm0058164	nm3214096	1	False	False	male	male
nm0058164	nm3606994	1	False	False	male	male
nm0059735	nm0024948	1	False	False	male	male
nm0059735	nm0194961	1	False	False	male	female
nm0059735	nm0808498	1	False	False	male	male
nm0059735	nm1317415	1	False	False	male	female
nm0060678	nm0589404	3	False	False	male	male
nm0061541	nm0047458	2	False	False	female	male
nm0061541	nm0136262	1	False	False	female	male
nm0061541	nm0321334	1	False	False	female	male
nm0061541	nm0332434	1	False	False	female	male
nm0061541	nm0376212	1	False	False	female	male
nm0061541	nm0425506	2	False	False	female	female
nm0061541	nm0564768	1	False	False	female	male
nm0061541	nm0800358	1	False	False	female	male
nm0061541	nm0859490	1	False	False	female	female
nm0061541	nm2458231	1	False	False	female	male
nm0063686	nm0641609	1	False	False	female	female
nm0063686	nm0808329	1	False	False	female	female
nm0063785	nm0734660	1	False	False	male	female
nm0063790	nm0240794	2	False	False	female	male
nm0063790	nm0282165	1	False	False	female	female
nm0063790	nm0709398	1	False	False	female	male
nm0064157	nm0006552	2	False	False	male	male
nm0064157	nm0066584	1	False	False	male	male
nm0064157	nm0073706	2	False	False	male	male
